review_id,business_id,text,rating,time,business_name,categories,sentiment_scores,compound_sentiment,sentiment_category,themes
g_1742606194_hLXe3RVRK39VUSPdvBjFEA,hLXe3RVRK39VUSPdvBjFEA,"I came across this restaurant on TikTok and had been looking forward to trying it.

The standout for me was definitely the Ube sliders. The soft, pillowy ube buns were unique and paired perfectly with the chorizo patty, sauce, and toppings. It was a creative take on Filipino fusion and absolutely delicious.

We also ordered the lumpia shanghai. They were generously sized, but the wrapper wasn’t as crispy as I would’ve liked. The sauce, however, was flavorful and complemented the dish well.

The pork BBQ skewers were good — tender meat with just the right amount of sauce that wasn’t overly sweet. While it didn’t quite compare to the BBQ skewers back home, it was still enjoyable.

The lechon was another highlight. The skin was perfectly crispy, and the meat was thick-cut, juicy, and tender with just the right amount of fat — buttery but not rubbery. The sauce it came with wasn’t the traditional lechon sauce I’m used to; it leaned more vinegary, which didn’t quite hit the mark for me. The inasal rice was also underwhelming — it lacked the bold garlic flavor I was expecting and tasted quite bland.

Overall, the service was great, and the staff were friendly and attentive. While I enjoyed parts of the meal, I don’t think I’ll be back.",3.0,1742606194,Kalye Broome,"[""Filipino""]","{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.9948}",0.9948,positive,"['food_quality', 'service']"
g_1740296777_hLXe3RVRK39VUSPdvBjFEA,hLXe3RVRK39VUSPdvBjFEA,"Brought my husband here to share this wonderful experience at Kalye since we are both adventurous eaters!

Our reservation was for 7:30pm but we walked in 10 minutes early and were able to be seated!

We were served the lumpia shanghai and ube drinks to start our meal off. I loved that the lumpia was packed with meat and thin on the skin but the ube drinks were too grainy for our taste. I'm not sure it was a fav but would not order that again.

For appetizers we got the bbq skewers and kinilaw ceviche tuna. The BBQ Skewers are bigger than the traditional skewers I'm used to at Malay restaurants but still really good! I love that you could taste the charred bbq which is a good indicator for me! The ceviche on the other hand.. wasn't as delectable by itself but once we ordered a side of pita chips, we changed our tunes! I think it's a must to have some sort of carbs to pair with and may be a bit heavy.

Hubby and I ordered one of each for the two entrees offered - beef tapa w. sunny side egg and mushroom sisig (both served with rice). I like both as it's not too salty but I think it could be heavier on the flavour? The meat could be marinated a bit longer imo but it was still good regardless.

To finish off, we got the mango float and ube ice cream. I thought the mango float was going to be more of a milkshake but it's actually a piece of cake with a cherry on top! The ube ice cream is topped with shaved coconut and so so SO rich in flavour. I preferred the ice cream over the cake but my husband had different opinions. Either way, we love both of our choices and would reorder this!!",4.0,1740296777,Kalye Broome,"[""Filipino""]","{'neg': 0.03, 'neu': 0.8, 'pos': 0.17, 'compound': 0.9952}",0.9952,positive,['timing']
g_1736718624_hLXe3RVRK39VUSPdvBjFEA,hLXe3RVRK39VUSPdvBjFEA,"My first time officially trying Philippine food, really interesting flavors, tastes vary. Big portions; staff was really nice and friendly.
Space is small so reservations are suggested on weekends. However, the smell inside the restaurant would be strong when they are deep frying food.

🍴✨Deep fried spring roll was my favorite. It was filled with grounded meat and huge! Nice flavor with slight crispy skin.

The pork belly was delicious, tender and juicy. But the fried pork skin came with meat was too hard.

Coconut shrimp rice was a light one, pretty refreshing. Simple seasoned shrimps with mango slices. The rice was a little bit over cooked, kinda soggy.

💜🍨💛Ube ice cream the best! It was so rich and creamy with sauces and toppings. Definitely the must-order dessert.

Ube buns were good too, but a little bit unflavored, so eat it with more sauces on the top.",4.0,1736718624,Kalye Broome,"[""Filipino""]","{'neg': 0.008, 'neu': 0.735, 'pos': 0.256, 'compound': 0.9931}",0.9931,positive,"['food_quality', 'service', 'timing']"
g_1732418787_hLXe3RVRK39VUSPdvBjFEA,hLXe3RVRK39VUSPdvBjFEA,"Amazing food! Though overall pretty fatty, not the healthiest if that’s what you’re looking for. Mango salad was underwhelming, but otherwise everything was delicious. The wait time was short too - only took around 10 min for the mains to be served.

Halo halo shaved ice was probably the best dessert I’ve ever had. Not too sweet, the texture was layered and varied. Rich in flavor. Love.",5.0,1732418787,Kalye Broome,"[""Filipino""]","{'neg': 0.036, 'neu': 0.67, 'pos': 0.294, 'compound': 0.9779}",0.9779,positive,"['food_quality', 'timing']"
g_1741909302_hLXe3RVRK39VUSPdvBjFEA,hLXe3RVRK39VUSPdvBjFEA,"everything from drinks, appetizer, to dessert was fantastic. Atmosphere was great with a great playlist. Our server jerremiah was very accommodating and explained all the dishes to us very well. A good spot for a date night or even a casual dinner with friends. 10/10 recommend if you want to try Filipino cuisine",5.0,1741909302,Kalye Broome,"[""Filipino""]","{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.9752}",0.9752,positive,"['food_quality', 'service', 'ambiance', 'timing']"
g_1746151230_FlZ1zdVEKWv7dwqm8Uw8-w,FlZ1zdVEKWv7dwqm8Uw8-w,"My second time at @rakunyc and I enjoyed my cold zaru udon a lot more than the hot udon I’ve had last time! Got an add-on veggie tempura but sadly they were not hot anymore when they came to me.

Had a bite of the buta shabu and I liked the grilled flavors of the sliced pork a lot!",4.0,1746151230,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.056, 'neu': 0.847, 'pos': 0.097, 'compound': 0.4086}",0.4086,positive,['food_quality']
g_1742788353_FlZ1zdVEKWv7dwqm8Uw8-w,FlZ1zdVEKWv7dwqm8Uw8-w,"Delicious Udon and Katsu don 10/10 quality ingredients and made with love. The noodles seem home made, chewy and so nice. Staff very friendly and restaurant is very pretty and clean!!!!! Really flavorful and the soup made me feel really good. Will come back definitely.",5.0,1742788353,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.9827}",0.9827,positive,"['food_quality', 'service']"
g_1741037327_FlZ1zdVEKWv7dwqm8Uw8-w,FlZ1zdVEKWv7dwqm8Uw8-w,"Cute noodle spot. The monkfish liver was delicate and a little rich, but honestly, nothing too memorable. The udon noodles themselves were great—nice texture and chew—but the pork belly dried noodles had an overwhelming smoky flavor, and not in a good way. It almost tasted like they had been sitting near actual cigarette smoke. Plus, the dish was seriously lacking salt—it definitely needed some soy sauce or seasoning.

On the other hand, the kani maze udon with crab roe was light but packed with a strong roe flavor, so if you’re into seafood, you’ll probably love it. The tempura was perfectly cooked—crispy, light, and delicious.

The restaurant itself is small and intimate. It can get a little loud, but you can still have a conversation, making it a solid date spot.",4.0,1741037327,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.031, 'neu': 0.71, 'pos': 0.258, 'compound': 0.9901}",0.9901,positive,"['food_quality', 'ambiance']"
g_1744127750_FlZ1zdVEKWv7dwqm8Uw8-w,FlZ1zdVEKWv7dwqm8Uw8-w,Amazing udon noodle. It’s one of the best.  Great texture and feel.  However the flavor of broth and seasoning could use tweaking.  I do recommend the chicken tatsuta age!,4.0,1744127750,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.9422}",0.9422,positive,['food_quality']
g_1738212083_FlZ1zdVEKWv7dwqm8Uw8-w,FlZ1zdVEKWv7dwqm8Uw8-w,"No wonder why they’re called the best ramen place in Manhattan, the dishes were soooo good! We looooved the Agedashi tofu, it was literally the best I’ve ever tried! The chicken was also very good, but the shrimp tempuras were phenomenal
I ordered ebiten udon and was a little disappointed at first as there weren’t that many ingredients in it, but the taste was unreal! I don’t know what they do to create such yummy water there in that dish but I know it just kept growing on me
My partner got the curry hot udon and loved it as well",5.0,1738212083,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.043, 'neu': 0.733, 'pos': 0.223, 'compound': 0.9687}",0.9687,positive,[]
